,Top_1_name
Library_of_Alexandria,egypt
Library_of_Congress,united states
Libreville,gabon
Libya,libya
Liechtenstein,liechtenstein
Life,
Light,egypt
Lighthouse_of_Alexandria,egypt
Lighting_designer,
Lightning_rod,united states
Lille,france
Lilongwe,malawi
Lima,peru
Limerick,ireland
Lincoln_%28automobile%29,
Lincoln_Town_Car,united states
Lindisfarne_Gospels,
Linear_algebra,germany
Linguistics,
Link_%28The_Legend_of_Zelda%29,japan
Linnet,
Linus_Pauling,
Linus_Torvalds,finland
Linux,
Lion,south africa
Lipid,
Liquid_crystal,
Lisbon,portugal
List_of_African_countries,
List_of_animal_welfare_groups,
List_of_Archbishops_of_Canterbury,
List_of_areas_in_the_National_Park_System_of_the_United_States,united states
List_of_Asian_countries,
List_of_Canadian_provinces_and_territories_by_area,canada
List_of_circulating_currencies,afghanistan
List_of_countries,
List_of_countries_by_system_of_government,
List_of_elements_by_name,
List_of_essential_oils,india
List_of_European_countries,
List_of_European_Union_member_states_by_accession,
List_of_French_monarchs,france
List_of_lakes,
List_of_members_of_the_Commonwealth_of_Nations_by_date_joined,
List_of_minerals,
List_of_monarchs_in_the_British_Isles,united kingdom
List_of_North_American_countries,canada
List_of_Oceanian_countries,australia
List_of_particles,
List_of_popes,italy
List_of_Prime_Ministers_of_the_United_Kingdom,united kingdom
List_of_rivers_by_length,egypt
List_of_South_American_countries,
List_of_sovereign_states,afghanistan
List_of_Test_cricket_triple_centuries,australia
List_of_U.S._states_by_date_of_statehood,united states
List_of_universities_in_the_United_Kingdom,united kingdom
List_of_vegetable_oils,
List_of_world%27s_largest_lakes,russia
Literacy,india
Literature,
Lithium,
Lithium_aluminium_hydride,
Lithuania,lithuania
Little_Women,united states
Liverpool,
Liverpool_and_Manchester_Railway,
Liverpool_F.C.,
Llandudno,
Llywelyn_the_Great,
Local_community,
Local_government_in_the_United_Kingdom,united kingdom
Loch,
Loch_Ness,
Logba_language,ghana
Logic,
Logistics,united states
Lom%C3%A9,togo
London,united kingdom
London_Bridge,
London_sewerage_system,united kingdom
London_Underground,united kingdom
London_Zoo,
Lone_Wolf_%28gamebooks%29,italy
Long-billed_Vulture,india
Long-tailed_Tit,
Longship,norway
Long_pepper,
Looney_Tunes,united states
Lope_de_Barrientos,spain
Lord%27s_Resistance_Army,uganda
Lord_Voldemort,
Lost_%28TV_series%29,united states
Los_Angeles%2C_California,united states
Lothal,india
Lottie_Dod,
Louisville%2C_Kentucky,united states
Louis_Armstrong,
Louis_Freeh,united states
Louis_Jordan,united states
Louis_Pasteur,france
Louis_XIV_of_France,france
Lovage,
Love,
Lucy%2C_Lady_Duff-Gordon,
Ludwig_van_Beethoven,germany
Ludwig_Wittgenstein,austria
Luftwaffe,germany
Luminiferous_aether,
Lunar_eclipse,
Lung_cancer,
Lusaka,zambia
Lutetium,france
Luxembourg,luxembourg
Luxembourg_%28city%29,luxembourg
Lyme_disease,united states
Lyndon_B._Johnson,
Lynton_and_Barnstaple_Railway,
Lyon,france
M%2AA%2AS%2AH_%28TV_series%29,united states
M-10001,united states
M-10003-6,united states
M1_motorway,
M25_motorway,united kingdom
M6_motorway,
Macau,china
Macbeth,
Macbeth_of_Scotland,
Macedon,
Machu_Picchu,peru
Macintosh,united states
Mackenzie_River,canada
Madagascar,madagascar
Madama_Butterfly,japan
Madrid,spain
Magdalena_Abakanowicz,poland
Magellanic_Penguin,argentina
Maghreb,morocco
Magic__The_Gathering,
Maglev_train,germany
Magma,
Magna_Carta,
Magnesium,
Magnet,
Magnetism,china
Magpie,
Mahabharata,india
Mahatma_Gandhi,india
Mahjong,china
Mahmoud_Abbas,
Maiasaura,
Maize,
Makuria,sudan
Malaria,
Malaspina_Glacier,
Malawi,malawi
Malaysia,malaysia
Malcolm_III_of_Scotland,
Malcolm_II_of_Scotland,
Malcolm_X,united states
Maldives,maldives
Mali,mali
Mallard,
Malta,malta
Malwa_%28Madhya_Pradesh%29,india
Mamenchisaurus,china
Mammal,
Mammoth,russia
Mammoth_Cave_National_Park,
Mancala,
Manchester,
Manchester_United_F.C.,
Mandan,
Manganese,south africa
Mango,india
Manifest_Destiny,united states
Manifold,
Manila,philippines
Manorialism,
Manuel_I_Komnenos,greece
Manufacturing,united states
Mao_Zedong,china
Maputo,mozambique
Map_projection,
Marcel_Lefebvre,france
Marcel_Proust,france
Marco_Polo,italy
Marcus_Allen,united states
Marc_Pugh,
Margaret_Sanger,united states
Margaret_Thatcher,united kingdom
Margate,
Marginated_Tortoise,greece
Margin_of_error,
Marie_Curie,poland
Mario,
Marjoram,
Market,
Markup_language,
Mark_Antony,
Mark_Twain,
Mark_Twain_House,
Mark_Webber,australia
Mars,
Marseille,france
Marshall_Islands,marshall islands
Marshall_Plan,united states
Mars_Exploration_Rover,
Mars_Reconnaissance_Orbiter,
Martello_tower,
Martina_Navratilova,united states
Martinique,martinique
Martin_Luther,
Martin_Luther_King%2C_Jr.,
Martin_Van_Buren,
Marvin_Gaye,
Marxism,germany
Mary_II_of_England,
Mary_I_of_England,
Mary_I_of_Scotland,
Mary_Kingsley,
Mary_Seacole,
Mary_Somerville,
Maseru,lesotho
Massospondylus,south africa
Mass_media,
Mass_Rapid_Transit_%28Singapore%29,singapore
Material_properties_of_diamond,
Mathematical_analysis,
Mathematics,
Matilda_of_Boulogne,
Matrix_%28mathematics%29,
Matsuo_Bash%C5%8D,japan
Matter,
Matthew_Brettingham,
Mauna_Loa,
Mauritania,mauritania
Mauritius,mauritius
Mausoleum_of_Maussollos,turkey
Mauthausen-Gusen_concentration_camp,austria
Maxwell%27s_equations,united kingdom
Max_Planck,germany
Max_Weber,germany
Maya_civilization,mexico
Maya_mythology,mexico
Mayotte,
Mbabane,
McFly_%28band%29,
Meander,turkey
Measles,
Measurement,
Meat,
Mecca,saudi arabia
Mechanical_work,
Medal_of_Honor,united states
Medicine,france
Medieval_commune,italy
Medieval_literature,
Medieval_music,
Mediterranean_Sea,italy
Mega_Man_X_%28character%29,japan
Meitnerium,germany
Mekong,vietnam
Melbourne,australia
Mendelevium,
Mendip_Hills,
Meningitis,
Menstrual_cycle,
Mentha,
Menthol,
Mercantilism,france
Mercia,
Mercury_%28element%29,
Mercury_%28planet%29,
Merrimack_River,
Merseburg_Incantations,germany
Mesopotamia,iraq
Mestizo,mexico
Metal,
Metallurgy,
Metamorphic_rock,estonia
Meteor,
Meteorological_history_of_Hurricane_Katrina,united states
Meteorology,
Meteor_shower,
Metric_expansion_of_space,
Mexico,mexico
Mexico_City,mexico
Miami%2C_Florida,united states
Michael_Faraday,
Michael_Jordan,united states
Michael_Ramsey,
Michael_Woodruff,australia
Michelangelo,italy
Michigan_State_University,united states
Mickey_Mantle,united states
Microraptor,china
Microscope,netherlands
Microsoft,united states
Microsoft_Windows,united states
Middle_Ages,
Middle_East,
Midway_Atoll,united states
Miguel_de_Cervantes,spain
Mikhail_Gorbachev,russia
Milan,italy
Miles_Davis,united states
Milgram_experiment,united states
Military_dictatorship,
Military_history_of_Canada,canada
Military_history_of_France,france
Military_history_of_Puerto_Rico,puerto rico
Military_history_of_the_Soviet_Union,russia
Milk,
Milkshake,united states
Milky_Way,
Milk_thistle,
Millard_Fillmore,
Milton_Keynes,
Mind,
Mineral,
Ming_Dynasty,china
Mini,united kingdom
Minimum_wage,
Mining,chile
MINI_%28BMW%29,united kingdom
Minmi_%28dinosaur%29,australia
Minneapolis%2C_Minnesota,united states
Minnesota,united states
Minoan_civilization,greece
Minstrel_show,united states
Miocene,
Mir,russia
Mirabilis_%28plant%29,
Miranda_Otto,australia
Mississippi_River,united states
Missouri_River,
Mistle_Thrush,
Mitochondrial_Eve,ethiopia
Mitochondrion,
Mixed-breed_dog,
Mixtape,
Modernist_poetry_in_English,
Modern_history,
Mogadishu,
Mohs_scale_of_mineral_hardness,germany
Moldova,moldova
Moldovans,moldova
Mole_%28animal%29,
Molybdenum,
Momentum,
Monaco,monaco
Monaco_Grand_Prix,monaco
Monarchies_in_the_European_Union,denmark
Monarchy,united kingdom
Monarda_didyma,united states
Mona_Lisa,france
Money,
Mongolia,mongolia
Mongol_Empire,mongolia
Mongol_invasion_of_Central_Asia,
Mongoose,
Monkey,
Monoclonius,canada
Monopoly_%28game%29,united kingdom
Monrovia,liberia
Montenegro,montenegro
Montevideo,uruguay
Montreal,canada
Montreal_Metro,canada
Montserrat,montserrat
Monty_Python,united kingdom
Moon,united states
Moon_landing,united states
Moore%27s_Law,united states
Moorgate,united kingdom
Moorhen,
Morecambe_and_Wise,united kingdom
Morecambe_Bay,
Moringa_oleifera,india
Mormon,united states
Mormon_Trail,
Morocco,morocco
Morphine,
Morris_dance,
Mosaic,italy
Moscow,russia
Mosque,saudi arabia
Moss,
Mother_Teresa,
Motion_%28physics%29,
Mountain_Gorilla,uganda
Mount_Baker,
Mount_Everest,nepal
Mount_Kilimanjaro,tanzania
Mount_Nyiragongo,
Mount_Osmond%2C_South_Australia,australia
Mount_Pinatubo,philippines
Mount_Rainier,
Mount_Rushmore,united states
Mount_St._Helens,united states
Mount_Unzen,japan
Mount_Vesuvius,italy
Mozambique,mozambique
Mozilla_Firefox,
Muhammad,pakistan
Muhammad_Ali,pakistan
Muhammad_Ali_Jinnah,pakistan
Muhammad_ibn_Musa_al-Khwarizmi,uzbekistan
Muhammad_Iqbal,pakistan
Multiculturalism,australia
Multiple_sclerosis,
Multiple_sequence_alignment,
Mumbai,india
Mummy,egypt
Munich,germany
Murray_River,australia
Muscat%2C_Oman,oman
Music,spain
Musical_instrument,
Music_of_Albania,albania
Music_of_Antigua_and_Barbuda,
Music_of_Barbados,barbados
Music_of_Dominica,dominica
Music_of_Hawaii,
Music_of_Hungary,hungary
Music_of_Ireland,ireland
Music_of_Italy,italy
Music_of_Martinique_and_Guadeloupe,martinique
Music_of_New_Zealand,new zealand
Music_of_Spain,spain
Music_of_Thailand,thailand
Music_of_the_Bahamas,bahamas
Music_of_the_Lesser_Antilles,
Music_of_the_trecento,italy
Music_of_the_United_States,united states
Music_of_Trinidad_and_Tobago,
Mustard_plant,
Mustard_seed,
Muttaburrasaurus,australia
Mu_Arae,
Myanmar,
Myco-heterotrophy,
Myers-Briggs_Type_Indicator,
Myocardial_infarction,
Mysticism,
Mythology,
Myxobolus_cerebralis,germany
Nadia_Com%C4%83neci,
Nagorno-Karabakh_War,
Nahuatl_language,mexico
Nairobi,kenya
Naked_Mole_Rat,
Names_of_God_in_Judaism,israel
Namibia,namibia
Nanomedicine,united states
Napoleonic_Wars,france
Napoleon_I_of_France,france
Napster,united states
Nashville%2C_Tennessee,
Nash_equilibrium,
Natalie_Portman,israel
Nathu_La,india
Nationalism,france
Nationality,
National_Anthem_of_Russia,russia
National_Gallery%2C_London,united kingdom
National_Hockey_League,canada
National_parks_of_England_and_Wales,
NATO,belgium
Natural_disaster,
Natural_gas,
Natural_selection,
Nature,australia
Nauru,nauru
Naval_Battle_of_Guadalcanal,solomon islands
Navassa_Island,united states
Nazism,germany
Nazi_Germany,germany
Necktie,
Negros_Oriental,philippines
Neighbours,australia
Neil_Armstrong,united states
Neil_Young,canada
Nelson_Mandela,south africa
Nematode,
Neoclassicism,
Neodymium,
Neon,
Nepal,nepal
Nepenthes_rajah,malaysia
Nephron,
Neptune,
Neptunium,
Netball,australia
Netherlands,netherlands
Netherlands_Antilles,netherlands
Neutron,
Newark%2C_New_Jersey,united states
Newcastle_upon_Tyne,
Newmarket,
Newshounds,united states
Newspaper,united states
Newsround,united kingdom
New_Caledonia,
New_Delhi,india
New_England_Patriots,
New_Forest,
New_moon,
New_York_City,united states
New_York_City_Subway_nomenclature,united states
New_Zealand,new zealand
Niagara_Falls,canada
Nicaragua,nicaragua
Niccol%C3%B2_dell%27Abbate,italy
Niccol%C3%B2_Machiavelli,italy
Niccol%C3%B2_Paganini,italy
Nickel,canada
Nicobar_Long-tailed_Macaque,
Nicolaus_Copernicus,poland
Niels_Bohr,denmark
Nigella,
Niger,niger
Nigeria,
Niger_River,
Nightingale,
Nikolai_Rimsky-Korsakov,russia
Nikola_Tesla,serbia
Nile,egypt
Nineteen_Eighty-Four,united kingdom
Nine_Million_Bicycles,
Nintendo,japan
Nintendo_DS,japan
Nintendo_Entertainment_System,japan
Niobium,
Nirvana_%28band%29,united states
Nitrification,
Nitrogen,
Nitrogen_cycle,
Nitrogen_fixation,
Niue,niue
Noam_Chomsky,united states
Nobelium,
Nobel_Peace_Prize,norway
Nobiin_language,egypt
Norfolk,
Norfolk_Island,australia
Norman_Borlaug,
Norman_conquest_of_England,
Norse_mythology,
Northern_Ireland,
Northern_Mariana_Islands,northern mariana islands
Northern_Pacific_Railway,united states
Northwest_Africa,algeria
North_Africa,algeria
North_America,canada
North_Atlantic_oscillation,iceland
North_Korea,north korea
North_Sea,netherlands
North_Sea_flood_of_1953,netherlands
North_Sea_oil,norway
Norway,norway
Norwich,
Nostradamus,france
Nottingham,
Nouakchott,mauritania
Novel,
Novelty_%28locomotive%29,united kingdom
Nuclear_fission,
Nuclear_power,united states
Nuclear_weapon,
Number,
Numismatics,
Nurse_sharks,
Nuthatch,
Nutmeg,indonesia
Nutrition,
Oasis_%28band%29,
Oat,
Obi-Wan_Kenobi,
Ocean,australia
Oceania,australia
Oceanography,
Odin,norway
Odysseus,greece
Odyssey,greece
Oenothera,
Ohm,
Oil_painting,italy
Oil_refinery,united states
Oil_reservoir,united states
Okapi,
Olaudah_Equiano,
Old_English_language,
Old_Nubian_language,egypt
Old_Swiss_Confederacy,switzerland
Oleg_of_Novgorod,russia
Oligarchy,
Oligocene,
Oliver_Cromwell,
Oliver_Twist,united kingdom
Olive_oil,greece
Ollanta_Humala,peru
Olmec,mexico
Olympic_Games,greece
Oman,oman
Omega-3_fatty_acid,
One_Flew_Over_the_Cuckoo%27s_Nest_%28novel%29,united states
One_Foot_in_the_Grave,
Onion,russia
Onion_dome,russia
OpenBSD,canada
OpenOffice.org,germany
Open_cluster,
Open_source,
Opera,italy
Oppression,
Optical_fiber,
Optical_microscope,netherlands
Optical_telescope,
Opuntia_imbricata,united states
Opus_Dei,spain
Orbit_%28anatomy%29,
Orca,norway
Order_of_Canada,canada
Order_of_St._Patrick,ireland
Order_of_the_Bath,united kingdom
Order_of_the_Garter,
Order_of_the_Thistle,
Ordinal_number,
Ordinary_differential_equation,
Ordination_of_women,
Ordovician,
Oregano,
Oregon,united states
Organism,
Organization,switzerland
Orion_Nebula,
Orkney,
Ormulum,
Ornithischia,
Oroonoko,suriname
Osaka,japan
Osama_bin_Laden,saudi arabia
Osiris,egypt
Oslo,norway
Osmium,russia
Osprey,
Osteomalacia,
Ostrich,
Oswald_of_Northumbria,
Ottawa,canada
Otter,
Ottoman_Empire,turkey
Otto_von_Bismarck,germany
Ouagadougou,burkina faso
Outer_Hebrides,
Overseas_Railroad,united states
Oviraptor,mongolia
Owl,
Oxbow_lake,china
Oxford,
Oxygen,
Oxyrhynchus,egypt
Ozone,
Ozone_depletion,
P%C3%B3voa_de_Varzim,portugal
Pablo_Picasso,spain
Pac-Man,japan
Pachycephalosaurus,
Pacific_Ocean,australia
Painting,france
Pakistan,pakistan
Palace_of_Westminster,
Palau,palau
Palazzo_Pitti,italy
Paleocene,
Paleontology,
Palestinian_territories,
Palio_di_Siena,italy
Pali_Canon,sri lanka
Palladian_architecture,italy
Palladium,russia
Palmyra_Atoll,united states
Palm_oil,
Panama,panama
Panama_Canal,panama
Pandanus,madagascar
Pan_Am_Flight_103,
Papal_conclave,italy
Paprika,hungary
Papua_New_Guinea,
Paraguay,paraguay
Parasaurolophus,
Paricut%C3%ADn,mexico
Paris,france
Park,united kingdom
Parliamentary_system,
Parliament_of_Canada,canada
Parliament_of_Malaysia,malaysia
Parliament_of_the_United_Kingdom,united kingdom
Parrot,
Parsley,
Parsnip,
Parthenon,greece
Pashtun_people,afghanistan
Passenger_Pigeon,
Patna,india
Pat_Cash,australia
Paul_C%C3%A9zanne,france
Paul_Dirac,united kingdom
Paul_Kane,canada
Paul_McCartney,
Paul_of_Tarsus,
Pea,
Peace,norway
Peaceful_coexistence,
Peafowl,india
Peak_District,
Peanut,
Pearl,
Pedagogy,
Pedro_del_Valle,
Pel%C3%A9,brazil
Pelagic_zone,
Pellagra,
Pelycosaur,
Penda_of_Mercia,
Penguin,
Pennine_Way,
Pennsylvania_Railroad,united states
Pentateuch,israel
People%27s_Republic_of_China,china
Peregrine_Falcon,
Pere_Marquette_1225,united states
Perfect_number,
Pericles,greece
Periodic_table,
Periodic_table_%28large_version%29,
Perl,australia
Permian,
Pernicious_anemia,
Persian_Empire,iran
Persian_Gulf,iran
Persian_literature,iran
Perth%2C_Western_Australia,australia
Peru,peru
Peterborough_Chronicle,
Peter_Grimes,
Peter_I_of_Russia,russia
Peter_Paul_Rubens,belgium
Pete_Sampras,united states
Petroleum,
Phase_%28matter%29,
Pheidippides,greece
Phenylketonuria,norway
Philadelphia,united states
Philately,
Philippines,philippines
Philip_II_of_Spain,spain
Philosophiae_Naturalis_Principia_Mathematica,
Philosophy,
Philosophy_of_mind,
Phineas_Gage,
Phishing,
Phla-Pher%C3%A1_languages,benin
Phoenix_%28spacecraft%29,united states
Phoenix_Zoo,
Phonograph_cylinder,united states
Phosphorus,
Phosphorus_tribromide,
Phosphorus_trichloride,
Phosphoryl_chloride,
Photography,
Photon,
Photosynthesis,
Photosynthetic_reaction_centre,
Photovoltaic_array,
Physical_paradox,
Physical_science,
Physics,
Pi,pitcairn islands
Piano,italy
Piccadilly_Circus,united kingdom
Picts,
Pied_Avocet,
Pig,
Pigeon,
Pigment,
Pikachu,japan
Pink_Pigeon,mauritius
Pinworm,
Pitcairn_Islands,
Plains_Zebra,
Planet,
Planetary_habitability,
Planetary_nebula,
Plant,
Plant_cell,
Plasma_%28physics%29,
Plateosaurus,germany
Plate_tectonics,iceland
Platinum,south africa
Plato,greece
Platypus,australia
Playing_card,
Pleiades_%28star_cluster%29,
Plesiosaur,
Pliocene,
Plover,
Plum,
Pluto,
Plutonium,
Plymouth,
Pneumonia,
Pochard,
Podcasting,
Poetry,china
Poetry_of_the_United_States,united states
Poison_gas_in_World_War_I,germany
Pok%C3%A9mon_Trading_Card_Game,japan
Poland,poland
Polar_coordinate_system,
Polar_ice_cap,antarctica
Police,
Police_state,
Polish%E2%80%93Muscovite_War_%281605%E2%80%931618%29,russia
Polish-Lithuanian_Commonwealth,poland
Polish-Muscovite_War_%281605%E2%80%931618%29,russia
Polish-Soviet_War,poland
Political_economy,
Political_integration_of_India,india
Political_philosophy,
Political_science,
Politics,
Politics_of_the_United_Kingdom,united kingdom
Pollinator,
Pollinator_decline,
Pollution,united states
Polonium,poland
Polymerase_chain_reaction,
Pompeii,italy
Pond,
PONG,united states
Pontiac%27s_Rebellion,
Pony,
Poor_Law,
Pope,germany
Pope_Benedict_XVI,germany
Pope_John_Paul_II,poland
Pope_Pius_XII,italy
Popular_culture,
Popular_culture_studies,
Population_history_of_American_indigenous_peoples,
Pop_Idol,united kingdom
Porgy_and_Bess,united states
Porto-Novo,benin
Portsmouth,
Portugal,portugal
Portuguese_Communist_Party,portugal
Portuguese_language,
Port_Louis,mauritius
Post-glacial_rebound,canada
Postage_stamp,united kingdom
Postman_Pat,united kingdom
Potassium,
Potassium_iodide,ireland
Potassium_nitrate,chile
Potato,
Pottery,
Poultry,
Pound_sterling,united kingdom
Poverty,indonesia
Prague,
Praia,cape verde
Praseodymium,australia
Pre-Raphaelite_Brotherhood,
Precambrian,
Prehistoric_man,
President_of_the_United_States,united states
Pretoria,south africa
Pride_and_Prejudice,united kingdom
Prime_Minister_of_the_United_Kingdom,united kingdom
Prime_number,
Primula,
Princeton_University,united states
Principality,monaco
Printmaking,japan
Prion,
Private_Peaceful,
Privy_Council_of_the_United_Kingdom,united kingdom
Probability_theory,
Programming_language,
Project_MKULTRA,
Project_Vanguard,united states
Promethium,
Propaganda,
Property,
Prospecting,
Prostate_cancer,united states
Protactinium,
Protein,
Protoceratops,mongolia
Proton,
Proxima_Centauri,
Pro_Milone,
PRR_GG1,united states
PRR_M1,united states
Psittacosaurus,china
PSR_B1620-26c,
Psychology,
Pterosaur,brazil
Ptolemy,egypt
Publishing,afghanistan
Puerto_Rico,puerto rico
Puffin,
Pumpkin,
Punctuated_equilibrium,
Pupil,
Pygmy_Hippopotamus,liberia
Pyongyang,north korea
Pyotr_Ilyich_Tchaikovsky,russia
Pyramid,egypt
Pyrite,
Pythagoras,greece
Pythagorean_theorem,
Python_%28programming_language%29,netherlands
Qatar,qatar
Qing_Dynasty,china
Qin_Dynasty,china
Qin_Shi_Huang,china
Quantity,
Quantum_chemistry,
Quantum_computer,
Quantum_mechanics,
Quark,
Quartz,
Quatermass_and_the_Pit,united kingdom
Queen_%28band%29,
Quetzalcoatl,mexico
Quito,ecuador
Qur%27an,
R%C3%A9union,france
Rabat,morocco
Rabbit,
Rabies,india
Rabindranath_Tagore,india
Race,
Radar,
Radhanite,france
Radio,
Radio_frequency,
Radio_telescope,russia
Radish,
Radium,
Radon,germany
Ragtime,united states
Railway_post_office,united states
Rail_transport,united states
Rail_transport_in_India,india
Rain,
Rainbow,canada
Rainforest,brazil
Rainhill_Trials,united kingdom
Raising_the_Flag_on_Iwo_Jima,united states
Ralph_Nader,united states
Rama,india
Ramayana,india
Ramesses_II,egypt
Ramsgate,
Raney_nickel,united states
Ran_%28film%29,japan
Raphael,italy
Rapping,united states
Raven,
Ray_of_Light,united states
Real_tennis,united kingdom
Rebecca_Helferich_Clarke,united kingdom
Recorder,
Recycling,
Redshift,
Redwing,
Redwood_National_and_State_Parks,united states
Red_dwarf,
Red_giant,
Red_Kite,
Red_Panda,china
Red_rain_in_Kerala,india
Red_Sea,egypt
Reed_Bunting,
Reed_Warbler,
Refining,
Refrigerator_car,united states
Regent%27s_Park,united kingdom
Reggae,jamaica
Reggaeton,puerto rico
Religion,
Religious_Society_of_Friends,
Rembrandt,netherlands
Ren%C3%A9_Descartes,france
Renaissance,italy
Renaissance_music,italy
Renminbi,china
Renormalization,
Reptile,
Republic_of_China,china
Republic_of_Ireland,ireland
Republic_of_Macedonia,
Republic_of_the_Congo,
RER,france
Restoration_comedy,
Restoration_literature,
Retina,
Retinol,
Retreat_of_glaciers_since_1850,tanzania
Revised_Standard_Version,united states
Revolution,
Reza_Shah,iran
Rhenium,
Rhine,switzerland
Rhode_Island,
Rhodium%28III%29_chloride,
Rhodium,south africa
Rhubarb,
Rhythm_and_blues,united states
Rice,united states
Richard_Feynman,
Richard_Francis_Burton,
Richard_III_%28play%29,
Richard_III_of_England,
Richard_II_of_England,
Richard_I_of_England,
Richard_Nixon,
Richard_O%27Connor,united kingdom
Richard_Stallman,united states
Richard_Wagner,germany
Richmond%2C_Virginia,united states
Riesling,germany
Right_whale,
Ringed_Plover,
Rio_de_Janeiro,brazil
Rio_Tinto_Group,united kingdom
River,pakistan
River_Severn,
River_Thames,
Riyadh,saudi arabia
RMS_Titanic,ireland
Roald_Amundsen,norway
Roan_Antelope,
Robert_Baden-Powell%2C_1st_Baron_Baden-Powell,kenya
Robert_Boyle,ireland
Robert_Gascoyne-Cecil%2C_3rd_Marquess_of_Salisbury,united kingdom
Robert_Oppenheimer,united states
Robert_Owen,
Robert_Peel,united kingdom
Robert_Schumann,germany
Robert_Stephenson,united kingdom
Robinson_Crusoe,
Roche_limit,
Rockall,united kingdom
Rocky_Mountains,
Rock_Bunting,
Rock_of_Gibraltar,gibraltar
Rock_Pigeon,
Rococo,
Roentgenium,germany
Romania,
Romanticism,
Roman_Britain,
Roman_Catholic_Church,italy
Roman_Empire,
Roman_Greece,greece
Roman_law,italy
Roman_mythology,italy
Roman_road,italy
Roman_villa,italy
Roman_Vishniac,russia
Rome,italy
Romeo_and_Juliet,italy
Romulus_Augustus,italy
Ronald_Reagan,
Rondane_National_Park,norway
Rook_%28bird%29,united kingdom
Rosa_Parks,
Rose-ringed_Parakeet,
Rosemary,
Rosetta_Stone,
ROT13,
Rotterdam,netherlands
Rowan_Williams,
Royal_Air_Force,united kingdom
Royal_Dutch_Shell,netherlands
Royal_Geographical_Society,united kingdom
Royal_Grammar_School_Worcester,
Royal_Marines,united kingdom
Royal_National_Theatre,
Royal_Navy,united kingdom
Royal_Parks_of_London,united kingdom
RSS_%28file_format%29,united states
Rubidium,
Rubik%27s_Cube,hungary
Rudolf_Vrba,slovakia
Rudyard_Kipling,united kingdom
Rugby_football,
Rugby_World_Cup,france
Rule_of_St_Benedict,
Rupee,india
Russia,russia
Russian_constitutional_crisis_of_1993,russia
Russian_language,russia
Russian_Revolution_of_1917,russia
Ruthenium,russia
Rutherfordium,
Rutherford_B._Hayes,
Rwanda,rwanda
Rwandan_Genocide,rwanda
S%C3%A3o_Paulo,brazil
S%C3%A3o_Tom%C3%A9,
S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,
S%C3%B8ren_Kierkegaard,denmark
S-mine,germany
S._A._Andr%C3%A9e%27s_Arctic_balloon_expedition_of_1897,sweden
Safflower,
Saffron,india
Sahara,
Saint-Pierre_and_Miquelon,france
Saint_Helena,
Saint_Joan_%28play%29,ireland
Saint_Kitts_and_Nevis,
Saint_Lawrence_Seaway,canada
Saint_Lucia,
Saint_Petersburg,russia
Saint_Vincent_and_the_Grenadines,
Sakurajima,japan
Saladin,iraq
Salford,
Salsa_music,
Salt,argentina
Saltasaurus,argentina
Salt_Lake_City%2C_Utah,
Salvador_Dal%C3%AD,spain
Samantha_Smith,
Samarium,
Samoa,samoa
Samuel_Beckett,ireland
Samuel_Taylor_Coleridge,
Sand,
Sandringham_House,
Sandur,iceland
Sandy_Koufax,united states
Sand_art_and_play,united states
Sand_shark,
Sanskrit,india
Sanssouci,germany
Santamar%C3%ADa_%28volcano%29,guatemala
Santa_Claus,
Santiago%2C_Chile,chile
Santorini,greece
San_Diegan,united states
San_Diego_and_Arizona_Railway,united states
San_Diego_Electric_Railway,united states
San_Francisco%2C_California,united states
San_Francisco_garter_snake,united states
San_Jose%2C_California,united states
San_Marino,san marino
Sarajevo,
Sardar_Vallabhbhai_Patel,india
Sasha_%28DJ%29,united kingdom
Sassanid_Empire,iran
Saturn,
Saturn_V,
Saudi_Arabia,saudi arabia
Saurischia,
Sauropodomorpha,
Sauroposeidon,
Sauropsid,
Saxicola,
Saxophone,belgium
Scandium,
Scanian_%28linguistics%29,sweden
Scattered_disc,
Scelidosaurus,
Scent_of_a_Woman,
Schatzki_ring,
Scheme_programming_language,
Schizophrenia,
Schr%C3%B6dinger_equation,austria
Schuttern_Gospels,
Science,
Scientific_classification,
Scooby-Doo,united states
Scotch_College%2C_Perth,australia
Scotland,
Scotland_in_the_High_Middle_Ages,
Scots_language,
Scottish_Episcopal_Church,
Scottish_Gaelic_language,
Scottish_Highlands,
Scottish_mythology,
Scott_Special,united states
Scouting,united kingdom
Scramble_for_Africa,
Screw,united states
Scrooge_McDuck,
Sculpture,
Scurvy,
SD26,united states
Sea,jordan
Seaborgium,
Sean_Connery,
Sears_Catalog_Home,united states
Season,
Seattle%2C_Washington,united states
Seawater,
Sea_level_rise,
Sea_of_Galilee,israel
Second_Boer_War,south africa
Second_Congo_War,
Second_Crusade,france
Seed,
Seinfeld,united states
Selena,
Selenium,
Semiconductor,
Semiconductor_device,
Senate_of_Canada,canada
Senegal,senegal
Senufo_languages,burkina faso
Seoul,south korea
Separation_of_powers_under_the_United_States_Constitution,united states
September_11%2C_2001_attacks,
Sequence_alignment,
Sequoia,united states
Serbia,serbia
Serbia_and_Montenegro,serbia
Serenity_%28film%29,united states
Sermon_on_the_Mount,israel
Sesame,
Sesame_Street,united states
Set,
Severn_crossing,
Seychelles,seychelles
Sgt._Pepper%27s_Lonely_Hearts_Club_Band,united kingdom
